Date,Price,Open,High,Low,Vol.,Change %
5/25/2010,880.00,879.00,880.00,879.00,3.57K,0.00%
5/24/2010,880.00,880.00,880.00,880.00,9.34K,2.56%
5/21/2010,858.00,858.00,858.00,858.00,0.01K,0.35%
5/20/2010,855.00,862.00,862.00,855.00,0.02K,-2.84%
5/19/2010,880.00,850.00,880.00,850.00,5.07K,2.80%
5/18/2010,856.00,856.00,856.00,856.00,0.01K,0.12%
5/14/2010,855.00,855.00,855.00,855.00,1.05K,-0.47%
5/13/2010,859.00,859.00,859.00,859.00,0.03K,0.00%
5/12/2010,859.00,843.00,859.00,843.00,12.45K,0.00%
5/10/2010,859.00,844.00,859.00,844.00,1.12K,1.90%
5/7/2010,843.00,840.00,843.00,840.00,0.71K,0.00%
5/6/2010,843.00,843.00,843.00,843.00,0.32K,-0.12%
5/5/2010,844.00,844.00,844.00,844.00,0.10K,-0.12%
5/4/2010,845.00,843.00,845.00,843.00,1.42K,0.24%
4/30/2010,843.00,840.00,843.00,840.00,5.81K,0.36%
4/29/2010,840.00,840.00,840.00,840.00,0.20K,-0.36%
4/28/2010,843.00,830.00,848.00,830.00,7.29K,0.00%
4/23/2010,843.00,830.00,843.00,830.00,4.02K,-0.12%
4/22/2010,844.00,844.00,844.00,844.00,0.01K,2.30%
4/21/2010,825.00,825.00,825.00,825.00,0.25K,1.35%
4/20/2010,814.00,798.00,814.00,798.00,0.72K,5.99%
4/19/2010,768.00,768.00,768.00,768.00,0.03K,-4.00%
4/16/2010,800.00,800.00,800.00,800.00,0.00K,-0.37%
4/6/2010,803.00,803.00,803.00,803.00,0.07K,5.66%
4/2/2010,760.00,760.00,760.00,760.00,1.00K,0.00%
4/1/2010,760.00,760.00,760.00,757.00,0.02K,-3.18%
3/30/2010,785.00,759.00,785.00,759.00,0.11K,3.97%
3/25/2010,755.00,755.00,755.00,755.00,0.01K,0.40%
3/17/2010,752.00,752.00,752.00,752.00,0.01K,-6.00%
3/12/2010,800.00,800.00,800.00,800.00,0.04K,-0.62%
3/11/2010,805.00,805.00,805.00,805.00,0.00K,1.13%
3/9/2010,796.00,796.00,796.00,796.00,4.55K,0.00%
3/8/2010,796.00,796.00,796.00,796.00,6.15K,0.00%
3/4/2010,796.00,750.00,796.00,750.00,18.10K,5.99%
3/3/2010,751.00,751.00,751.00,751.00,0.06K,-3.72%
3/2/2010,780.00,780.00,780.00,780.00,0.01K,-0.13%
3/1/2010,781.00,781.00,781.00,781.00,0.01K,-4.76%
2/26/2010,820.00,781.00,820.00,781.00,0.10K,0.24%
2/25/2010,818.00,818.00,818.00,818.00,0.00K,-1.56%
2/24/2010,831.00,831.00,831.00,831.00,0.13K,1.59%
2/23/2010,818.00,818.00,818.00,818.00,0.01K,-5.98%
2/22/2010,870.00,830.00,870.00,830.00,0.03K,4.82%
2/19/2010,830.00,800.00,830.00,800.00,2.61K,5.20%
2/18/2010,789.00,780.00,789.00,780.00,4.50K,5.91%
2/17/2010,745.00,740.00,745.00,740.00,0.04K,-4.97%
2/16/2010,784.00,741.00,784.00,741.00,4.69K,5.95%
2/15/2010,740.00,739.00,740.00,739.00,0.20K,0.00%
2/12/2010,740.00,740.00,740.00,740.00,0.55K,2.78%
2/8/2010,720.00,720.00,720.00,720.00,0.10K,1.12%
2/5/2010,712.00,712.00,712.00,712.00,0.01K,-4.04%
1/28/2010,742.00,717.00,742.00,717.00,0.30K,5.55%
1/27/2010,703.00,703.00,703.00,703.00,0.03K,0.00%
1/22/2010,703.00,718.00,718.00,703.00,0.16K,3.23%
1/21/2010,681.00,701.00,701.00,681.00,0.11K,-3.13%
1/20/2010,703.00,703.00,703.00,703.00,0.02K,-0.42%
1/18/2010,706.00,706.00,706.00,706.00,0.00K,0.71%
1/13/2010,701.00,701.00,701.00,701.00,0.03K,-3.84%
1/8/2010,729.00,726.00,729.00,726.00,0.14K,5.96%
1/6/2010,688.00,688.00,688.00,688.00,0.09K,5.85%
12/31/2009,650.00,730.00,732.00,650.00,6.36K,-5.93%
12/30/2009,691.00,715.00,740.00,691.00,2.41K,-5.21%
12/29/2009,729.00,729.00,729.00,729.00,6.40K,4.14%
12/25/2009,700.00,739.00,739.00,700.00,0.68K,-5.15%
12/21/2009,738.00,738.00,738.00,738.00,233.48K,-0.27%
12/17/2009,740.00,710.00,740.00,710.00,0.06K,-1.20%
12/16/2009,749.00,744.00,749.00,744.00,0.43K,0.67%
12/15/2009,744.00,744.00,744.00,744.00,0.05K,0.68%
12/11/2009,739.00,716.00,739.00,710.00,0.57K,-0.14%
12/10/2009,740.00,720.00,740.00,720.00,0.13K,2.78%
12/7/2009,720.00,720.00,720.00,720.00,0.03K,-1.37%
12/4/2009,730.00,740.00,740.00,720.00,1.14K,-1.35%
12/3/2009,740.00,730.00,740.00,730.00,1.92K,1.09%
12/2/2009,732.00,768.00,768.00,732.00,0.10K,-1.21%
12/1/2009,741.00,741.00,741.00,741.00,0.03K,-3.64%
11/25/2009,769.00,769.00,769.00,769.00,0.00K,0.00%
11/24/2009,769.00,769.00,769.00,769.00,0.01K,0.13%
11/20/2009,768.00,768.00,768.00,768.00,0.03K,0.00%
11/16/2009,768.00,768.00,768.00,768.00,0.01K,3.78%
11/13/2009,740.00,740.00,740.00,740.00,0.05K,0.00%
11/12/2009,740.00,740.00,740.00,740.00,0.05K,0.00%
11/11/2009,740.00,740.00,740.00,740.00,0.01K,0.54%
11/10/2009,736.00,770.00,770.00,736.00,0.22K,0.00%
11/9/2009,736.00,774.00,774.00,735.00,0.01K,0.68%
11/4/2009,731.00,731.00,731.00,731.00,0.01K,-5.06%
10/30/2009,770.00,771.00,771.00,770.00,0.10K,-1.91%
10/29/2009,785.00,785.00,785.00,785.00,0.05K,0.64%
10/27/2009,780.00,780.00,780.00,780.00,0.10K,4.00%
10/23/2009,750.00,780.00,780.00,750.00,0.01K,1.35%
10/22/2009,740.00,740.00,740.00,740.00,0.01K,-5.13%
10/21/2009,780.00,780.00,780.00,780.00,0.17K,0.26%
